report,event
Heavy rainfall caused flooding in Pune,Flood
Continuous rain flooded several roads in Mumbai,Flood
River overflow caused severe flooding in Assam,Flood
Water entered houses after heavy rainfall,Flood
Flash floods reported due to intense rain,Flood
Extreme heat recorded in Nagpur,Heatwave
Temperature reached dangerous levels in Delhi,Heatwave
Severe heatwave affecting people in Rajasthan,Heatwave
High temperatures reported across the city,Heatwave
Hot weather conditions causing health concerns,Heatwave
Dense fog reduced visibility in Delhi,Fog
Thick fog disrupted traffic in the morning,Fog
Heavy fog affected road visibility,Fog
Foggy conditions caused delays in transportation,Fog
Dense mist covered the city roads,Fog
Strong winds and heavy rain caused damage,Thunderstorm
Lightning and thunder reported during the storm,Thunderstorm
Severe thunderstorm affected several areas,Thunderstorm
Heavy rain accompanied by lightning,Thunderstorm
Thunderstorms expected with strong winds,Thunderstorm

Severe flooding reported after continuous rainfall,Flood
Water levels increased and flooded nearby villages,Flood
Heavy rain caused waterlogging across the city,Flood
Several houses were damaged due to river flooding,Flood
Floodwaters entered residential areas after rainfall,Flood
Continuous rainfall caused major flooding in the district,Flood
People were evacuated due to rising flood water,Flood
Overflowing river caused flooding in nearby areas,Flood
Roads were submerged because of heavy rainfall,Flood
Authorities issued warnings after severe flooding,Flood

Extreme temperatures recorded across the city,Heatwave
People advised to stay indoors due to intense heat,Heatwave
Severe heat conditions affected daily life,Heatwave
Temperature crossed dangerous levels this afternoon,Heatwave
Hot weather conditions continued for several days,Heatwave
Authorities issued warnings about extreme heat,Heatwave
High temperatures caused health concerns among residents,Heatwave
Scorching heat affected people across the region,Heatwave
Heatwave conditions expected to continue tomorrow,Heatwave
Very high temperatures were reported during the day,Heatwave

Dense fog reduced visibility on highways,Fog
Thick fog covered the city during morning hours,Fog
Low visibility caused delays in transportation,Fog
Drivers were advised to drive carefully due to fog,Fog
Heavy fog disrupted flights and train services,Fog
Dense fog affected road visibility,Fog
Morning fog covered several parts of the city,Fog
Visibility dropped significantly due to thick fog,Fog
Foggy conditions continued throughout the morning,Fog
Authorities issued alerts because of dense fog,Fog

Strong thunderstorms reported across the region,Thunderstorm
Heavy rain and lightning affected the city,Thunderstorm
Thunder and strong winds caused damage,Thunderstorm
Severe storm disrupted normal life in the area,Thunderstorm
Lightning strikes were reported during heavy rain,Thunderstorm
Thunderstorm warnings were issued for several districts,Thunderstorm
Strong winds and thunder affected transportation,Thunderstorm
Intense storm activity continued throughout the night,Thunderstorm
Heavy rainfall accompanied by thunder was reported,Thunderstorm
Residents were warned about an approaching thunderstorm,Thunderstorm
